year,id,pref_jp,pref_en,a_len,pop,im_rate,em_rate,did,treat,income,cult,college,jcollege,spec,hedu,gexp,start,gap,pre11,pre10,pre9,pre8,pre7,pre6,pre5,pre4,pre3,pre2,pre1,current,post1,post2,post3,post4,post5,post6,post7,post8,post9
2013,21,岐 阜 県,Gifu-ken,234.6,205,1.26,1.5,0,0,2726,8110.8,0.59,0.54,1.76,2.89,779.2,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,22,静 岡 県,Shizuoka-ken,210.5,372,1.35,1.54,0,0,3326,9845.9,0.38,0.13,2.58,3.09,677.6,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,23,愛 知 県,Aichi-ken,181.8,744,1.5,1.39,0,0,3579,9270.7,0.7,0.3,2.38,3.38,663.1,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,24,三 重 県,Mie-ken,189.3,183,1.46,1.64,0,0,3166,11632.1,0.44,0.16,2.24,2.84,775,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,25,滋 賀 県,Shiga-ken,161.4,142,1.81,1.83,0,0,3273,14715.3,0.56,0.21,1.91,2.68,765.6,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,26,京 都 府,Kyoto-fu,55.1,262,2.04,2.11,0,0,2974,8842.8,1.26,0.57,2.52,4.35,813.7,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,27,大 阪 府,Osaka-fu,114.8,885,1.73,1.69,0,0,2995,5159.3,0.63,0.33,2.61,3.57,751.7,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,28,兵 庫 県,Hyogo-ken,267.5,556,1.59,1.68,0,0,2816,7937.3,0.74,0.31,1.67,2.72,803.8,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,29,奈 良 県,Nara-ken,18.2,138,1.77,1.97,0,0,2530,7807.3,0.8,0.36,3.04,4.2,744.9,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,30,和歌山県,Wakayama-ken,59.6,98,1.22,1.47,0,0,2816,10237,0.31,0.1,2.25,2.66,1111.3,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,31,鳥 取 県,Tottori-ken,51.8,58,1.52,1.81,0,0,2337,10922.3,0.35,0.17,4.15,4.67,1154.7,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,32,島 根 県,Shimane-ken,128,70,1.47,1.66,0,0,2424,9603,0.28,0.14,2.99,3.41,1382.4,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,33,岡 山 県,Okayama-ken,276.8,193,1.5,1.54,0,0,2800,9156.7,0.88,0.52,2.8,4.2,810.6,,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
